2022-11-28 14:41:17,819 - DEBUG - time: 7.4, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,824 - DEBUG - time: 7.4, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,829 - DEBUG - time: 7.4, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,847 - DEBUG - time: 7.5, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,854 - DEBUG - time: 7.5, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,867 - DEBUG - time: 7.5, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,871 - DEBUG - time: 7.5, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,888 - DEBUG - time: 7.6, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,904 - DEBUG - time: 7.6, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,910 - DEBUG - time: 7.6, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,916 - DEBUG - time: 7.6, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,934 - DEBUG - time: 7.7, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,938 - DEBUG - time: 7.7, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,952 - DEBUG - time: 7.7, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,956 - DEBUG - time: 7.7, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,973 - DEBUG - time: 7.8, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,986 - DEBUG - time: 7.8, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,991 - DEBUG - time: 7.8, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,995 - DEBUG - time: 7.8, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,011 - DEBUG - time: 7.9, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,015 - DEBUG - time: 7.9, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,027 - DEBUG - time: 7.9, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,032 - DEBUG - time: 7.9, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,048 - DEBUG - time: 8.0, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,063 - DEBUG - time: 8.0, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,068 - DEBUG - time: 8.0, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,071 - DEBUG - time: 8.0, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,200 - DEBUG - time: 8.1, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,206 - DEBUG - time: 8.1, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,220 - DEBUG - time: 8.1, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,225 - DEBUG - time: 8.1, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,240 - DEBUG - time: 8.2, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,253 - DEBUG - time: 8.2, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,257 - DEBUG - time: 8.2, id: 0, could change: False, False, state: ([], []), ([], []), False, False
